# 海克斯强化名 → 图标 URL（爬取结果直接粘贴；同名强化共用一张图；缺失回退占位图）
强化名,图标URL
加固护盾,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_silver.png
家园卫士,https://cdn.dtodo.cn/hextech/augment-icons/homeguard_large.png
尖端发明家,https://cdn.dtodo.cn/hextech/augment-icons/apexinventor_large.png
坚韧,https://arammayhem.com/augments/Perseverance_mayhem_augment.webp
惊惧,https://cdn.dtodo.cn/hextech/augment-icons/desecrator_large.png
精怪魔法,https://cdn.dtodo.cn/hextech/augment-icons/feymagic_large.png
狙神飞星,https://cdn.dtodo.cn/hextech/augment-icons/questbangbang_large.png
巨人杀手,https://cdn.dtodo.cn/hextech/augment-icons/giantslayer_large.png
巨像的勇气,https://cdn.dtodo.cn/hextech/augment-icons/courageofthecolossus_large.png
捐赠,https://cdn.dtodo.cn/hextech/augment-icons/donation_large.png
科学狂人,https://cdn.dtodo.cn/hextech/augment-icons/madscientist_large.png
可靠武器,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_silver.png
渴血,https://cdn.dtodo.cn/hextech/augment-icons/goredrink_large.png
空投熊,https://cdn.dtodo.cn/hextech/augment-icons/drop_bear.png
快步,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_gold.png
快中求稳,https://cdn.dtodo.cn/hextech/augment-icons/swiftandsafe_large.png
狂热者,https://cdn.dtodo.cn/hextech/augment-icons/zealot_large.png
狂徒豪气,https://cdn.dtodo.cn/hextech/augment-icons/outlawsgrit_large.png
老练狙神,https://cdn.dtodo.cn/hextech/augment-icons/skilledsniper_large.png
黎明使者的坚决,https://cdn.dtodo.cn/hextech/augment-icons/dawnbringersresolve_large.png
利刃华尔兹,https://cdn.dtodo.cn/hextech/augment-icons/bladewaltz_large.png
连拨击锤,https://cdn.dtodo.cn/hextech/augment-icons/fanthehammer_large.png
连锁反应,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_gold.png
练腿日,https://cdn.dtodo.cn/hextech/augment-icons/legday_large.png
炼狱导管,https://cdn.dtodo.cn/hextech/augment-icons/infernalconduit_large.png
炼狱龙魂,https://cdn.dtodo.cn/hextech/augment-icons/infernalsoul_large.png
亮出你的剑,https://cdn.dtodo.cn/hextech/augment-icons/drawyoursword_large.png
灵魂虹吸,https://cdn.dtodo.cn/hextech/augment-icons/soulsiphon_large.png
灵魄炸弹,https://cdn.dtodo.cn/hextech/augment-icons/spiritbomb_large.png
灵巧,https://cdn.dtodo.cn/hextech/augment-icons/deft_large.png
秘术冲拳,https://cdn.dtodo.cn/hextech/augment-icons/mysticpunch_large.png
面包和果酱,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_gold.png
面包和黄油,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_gold.png
面包和奶酪,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_gold.png
魔法飞弹,https://cdn.dtodo.cn/hextech/augment-icons/magicmissile_large.png
魔法转物理,https://cdn.dtodo.cn/hextech/augment-icons/escapade_large.png
男爵之手,https://cdn.dtodo.cn/hextech/augment-icons/handofbaron_large.png
你摸不到,https://cdn.dtodo.cn/hextech/augment-icons/canttouchthis_large.png
潘朵拉的盒子,https://cdn.dtodo.cn/hextech/augment-icons/pandoras_box_large.png
魄罗蛮冲,https://cdn.dtodo.cn/hextech/augment-icons/questporocharge_large.png
仆从大师,https://cdn.dtodo.cn/hextech/augment-icons/minionmancer_large.png
前进时间到,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_silver.png
强力护盾,https://cdn.dtodo.cn/hextech/augment-icons/mightyshield_large.png
侵蚀,https://cdn.dtodo.cn/hextech/augment-icons/erosion_large.png
轻拍背部,https://cdn.dtodo.cn/hextech/augment-icons/patontheback_large.png
全能龙魂,https://cdn.dtodo.cn/hextech/augment-icons/omnisoul_large.png
全凭身法,https://cdn.dtodo.cn/hextech/augment-icons/dashing_large.png
全心为你,https://cdn.dtodo.cn/hextech/augment-icons/allforyou_large.png
仁慈打击,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_gold.png
软弹啪叽抓,https://cdn.dtodo.cn/hextech/augment-icons/squishyslappygrab_large.png
三重射击,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_prismatic.png
杀戮时间到了,https://cdn.dtodo.cn/hextech/augment-icons/itskillingtime_large.png
杀意翻涌,https://cdn.dtodo.cn/hextech/augment-icons/killsecure_large.png
鲨鱼暴风,https://cdn.dtodo.cn/hextech/augment-icons/sharktempest_large.png
鲨鱼诱饵,https://cdn.dtodo.cn/hextech/augment-icons/fishbait_large.png
山脉龙魂,https://cdn.dtodo.cn/hextech/augment-icons/mountainsoul_large.png
闪光弹,https://cdn.dtodo.cn/hextech/augment-icons/flashbang_large.png
闪闪现现,https://cdn.dtodo.cn/hextech/augment-icons/flash2_large.png
闪现向前,https://cdn.dtodo.cn/hextech/augment-icons/flashy_large.png
扇巴掌,https://cdn.dtodo.cn/hextech/augment-icons/slaparound_large.png
神射法师,https://cdn.dtodo.cn/hextech/augment-icons/marksmage_large.png
神圣干预,https://cdn.dtodo.cn/hextech/augment-icons/slowactingpainkillers_large.png
神圣雪球,https://cdn.dtodo.cn/hextech/augment-icons/goldensnowball_large.png
升级：收集者,https://cdn.dtodo.cn/hextech/augment-icons/upgradecollector_large.png
升级：无尽之刃,https://cdn.dtodo.cn/hextech/augment-icons/upgradeie_large.png
升级：献祭,https://cdn.dtodo.cn/hextech/augment-icons/upgradeimmolate_large.png
升级：耀光,https://cdn.dtodo.cn/hextech/augment-icons/upgradesheen_large.png
升级：中娅,https://cdn.dtodo.cn/hextech/augment-icons/upgradezh_large.png
生机迸发,https://cdn.dtodo.cn/hextech/augment-icons/growthspurt_large.png
史上最大雪球,https://cdn.dtodo.cn/hextech/augment-icons/biggestsnowballever_large.png
属性！,https://cdn.dtodo.cn/hextech/augment-icons/stats_large.png
属性叠属性！,https://cdn.dtodo.cn/hextech/augment-icons/statsonstats_large.png
属性叠属性叠属性！,https://cdn.dtodo.cn/hextech/augment-icons/statsonstatsonstats_large.png
术士果汁盒,https://cdn.dtodo.cn/hextech/augment-icons/warlockjuicebox_large.png
双刀流,https://cdn.dtodo.cn/hextech/augment-icons/dualwield_large.png
双发快射,https://cdn.dtodo.cn/hextech/augment-icons/doubletap_large.png
双生火焰,https://cdn.dtodo.cn/hextech/augment-icons/twinfire_large.png
双重打击,https://raw.communitydragon.org/latest/game/assets/ux/kiwi/augments/icons/adamant_large.png
死亡之环,https://cdn.dtodo.cn/hextech/augment-icons/circleofdeath_large.png
缩小射线,https://cdn.dtodo.cn/hextech/augment-icons/shrinkray_large.png
缩小引擎,https://cdn.dtodo.cn/hextech/augment-icons/shrinkengine_large.png
台风,https://cdn.dtodo.cn/hextech/augment-icons/typhoon_large.png
泰坦的坚决,https://cdn.dtodo.cn/hextech/augment-icons/iamthejuggernaut_large.png
贪欲束缚,https://cdn.dtodo.cn/hextech/augment-icons/upgradehubris_large.png
坦克引擎,https://cdn.dtodo.cn/hextech/augment-icons/tank_engine_large.png
逃跑计划,https://cdn.dtodo.cn/hextech/augment-icons/escapeplan_large.png
踢踏舞,https://cdn.dtodo.cn/hextech/augment-icons/tapdancer_large.png
天音爆,https://cdn.dtodo.cn/hextech/augment-icons/sonicboom_large.png
吞噬灵魂,https://cdn.dtodo.cn/hextech/augment-icons/souleater_large.png
万用瞄准镜,https://cdn.dtodo.cn/hextech/augment-icons/scopedweapons_large.png
威能之追求,https://cdn.dtodo.cn/hextech/augment-icons/marksmage_large.png
唯快不破,https://cdn.dtodo.cn/hextech/augment-icons/dontblink_large.png
位面转移,https://cdn.dtodo.cn/hextech/augment-icons/whenthedarknesscomes_large.png
喂呜喂呜,https://cdn.dtodo.cn/hextech/augment-icons/weewooweewoo_large.png
我们的治疗,https://cdn.dtodo.cn/hextech/augment-icons/equillibrium_large.png
沃格勒特的巫师帽,https://cdn.dtodo.cn/hextech/augment-icons/quest_woogletswitchcap_large.png
巫师式思考,https://cdn.dtodo.cn/hextech/augment-icons/witchfulthinking_large.png
无尽大杀四方,https://cdn.dtodo.cn/hextech/augment-icons/endlessdecimate_large.png
无限循环往复,https://cdn.dtodo.cn/hextech/augment-icons/infiniterecursion_large.png
舞会女王,https://cdn.dtodo.cn/hextech/augment-icons/promqueen_large.png
物法皆修,https://cdn.dtodo.cn/hextech/augment-icons/masterofduality_large.png
物理转魔法,https://cdn.dtodo.cn/hextech/augment-icons/adapt_large.png
吸血习性,https://arammayhem.com/augments/Vampirism_mayhem_augment.webp
下雪天,https://cdn.dtodo.cn/hextech/augment-icons/snowday_large.png
小小的额外帮助,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_gold.png
心灵净化,https://cdn.dtodo.cn/hextech/augment-icons/spiritualpurification_large.png
信念者的强化,https://cdn.dtodo.cn/hextech/augment-icons/empoweredbythefaithful_large.png
星界躯体,https://cdn.dtodo.cn/hextech/augment-icons/celestialbody_large.png
虚幻武器,https://cdn.dtodo.cn/hextech/augment-icons/etherealweapon_large.png
虚空冲刺,https://arammayhem.com/augments/Void_Dash_mayhem_augment.webp
旋转至胜,https://cdn.dtodo.cn/hextech/augment-icons/spintowin_large.png
循环往复,https://cdn.dtodo.cn/hextech/augment-icons/recursion_large.png
牙仙子,https://cdn.dtodo.cn/hextech/augment-icons/questburstingteeth_large.png
夜狩,https://cdn.dtodo.cn/hextech/augment-icons/nightstalking_large.png
易损,https://cdn.dtodo.cn/hextech/augment-icons/vulnerability_large.png
溢流,https://cdn.dtodo.cn/hextech/augment-icons/overflow_large.png
咏叹奏鸣,https://cdn.dtodo.cn/hextech/augment-icons/sonata_large.png
尤里卡,https://cdn.dtodo.cn/hextech/augment-icons/eureka_large.png
由暴生急,https://cdn.dtodo.cn/hextech/augment-icons/critncast_large.png
由心及物,https://cdn.dtodo.cn/hextech/augment-icons/mindtomatter_large.png
有始有终,https://cdn.dtodo.cn/hextech/augment-icons/frombeginningtoend_large.png
战争交响乐,https://cdn.dtodo.cn/hextech/augment-icons/symphonyofwar_large.png
针插垫,https://cdn.dtodo.cn/hextech/augment-icons/symphonyofwar_large.png
至高天诺言,https://cdn.dtodo.cn/hextech/augment-icons/empyreampromise_large.png
质变：黄金阶,https://cdn.dtodo.cn/hextech/augment-icons/transmutegold_large.png
质变：混沌,https://cdn.dtodo.cn/hextech/augment-icons/transmutechaos_large.png
质变：棱彩阶,https://cdn.dtodo.cn/hextech/augment-icons/transmuteprismatic_large.png
掷骰狂人,https://cdn.dtodo.cn/hextech/augment-icons/highroller_large.png
终极不可阻挡,https://cdn.dtodo.cn/hextech/augment-icons/ultimateunstoppable_large.png
终极唤醒,https://cdn.dtodo.cn/hextech/augment-icons/zerohour_large.png
终极刷新,https://cdn.dtodo.cn/hextech/augment-icons/ultimaterevolution_large.png
重量级打击手,https://cdn.dtodo.cn/hextech/augment-icons/heavyhitter_large.png
咒语裂变,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_prismatic.png
珠光护手,https://cdn.dtodo.cn/hextech/augment-icons/jeweledgauntlet_large.png
注魔,https://cdn.dtodo.cn/hextech/augment-icons/juiced_large.png
转得我眩晕了,https://cdn.dtodo.cn/hextech/augment-icons/youspinmerightround_large.png
自然即是治愈,https://cdn.dtodo.cn/hextech/augment-icons/natureishealing_large.png
自适应防护,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_silver.png
最万用的瞄准镜,https://cdn.dtodo.cn/hextech/augment-icons/scopiestweapons_large.png
最终形态,https://cdn.dtodo.cn/hextech/augment-icons/finalform_large.png
罪恶快感,https://cdn.dtodo.cn/hextech/augment-icons/getexcited_large.png
尊我为王,https://cdn.dtodo.cn/hextech/augment-icons/kingme_large.png
