装备名,图标URL
卢安娜的飓风,https://game.gtimg.cn/images/lol/act/img/item/3085.png
卢登的回声,https://game.gtimg.cn/images/lol/act/img/item/6655.png
玛莫提乌斯之噬,https://game.gtimg.cn/images/lol/act/img/item/3156.png
梅贾的窃魂卷,https://game.gtimg.cn/images/lol/act/img/item/3041.png
米凯尔的祝福,https://game.gtimg.cn/images/lol/act/img/item/3222.png
灭世者的死亡之帽,https://game.gtimg.cn/images/lol/act/img/item/3089.png
明朗之靴,https://game.gtimg.cn/images/lol/act/img/item/3158.png
命定灰烬,https://game.gtimg.cn/images/lol/act/img/item/2508.png
摩天雪橇,https://game.gtimg.cn/images/lol/act/img/item/3876.png
魔宗,https://game.gtimg.cn/images/lol/act/img/item/3004.png
莫雷洛秘典,https://game.gtimg.cn/images/lol/act/img/item/3165.png
纳什之牙,https://game.gtimg.cn/images/lol/act/img/item/3115.png
纳沃利烁刃,https://game.gtimg.cn/images/lol/act/img/item/6675.png
女神之泪,https://game.gtimg.cn/images/lol/act/img/item/3070.png
女妖面纱,https://game.gtimg.cn/images/lol/act/img/item/3102.png
炮铜胫甲,https://game.gtimg.cn/images/lol/act/img/item/3172.png
破败王者之刃,https://game.gtimg.cn/images/lol/act/img/item/3153.png
破舰者,https://game.gtimg.cn/images/lol/act/img/item/3181.png
破垒者,https://game.gtimg.cn/images/lol/act/img/item/2520.png
骑士之誓,https://game.gtimg.cn/images/lol/act/img/item/3109.png
千变者贾修,https://game.gtimg.cn/images/lol/act/img/item/6665.png
强化符文等级,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/item/2147.png
轻灵之靴,https://game.gtimg.cn/images/lol/act/img/item/3009.png
燃烧宝石,https://game.gtimg.cn/images/lol/act/img/item/3067.png
日炎圣盾,https://game.gtimg.cn/images/lol/act/img/item/3068.png
瑞莱的冰晶节杖,https://game.gtimg.cn/images/lol/act/img/item/3116.png
赛瑞尔达的怨恨,https://game.gtimg.cn/images/lol/act/img/item/6694.png
三相之力,https://game.gtimg.cn/images/lol/act/img/item/3078.png
深渊面具,https://game.gtimg.cn/images/lol/act/img/item/8020.png
神谕透镜,https://game.gtimg.cn/images/lol/act/img/item/3364.png
生命药水,https://game.gtimg.cn/images/lol/act/img/item/2003.png
十字镐,https://game.gtimg.cn/images/lol/act/img/item/1037.png
时光之杖,https://game.gtimg.cn/images/lol/act/img/item/6657.png
实现器,https://game.gtimg.cn/images/lol/act/img/item/2522.png
视界专注,https://game.gtimg.cn/images/lol/act/img/item/4628.png
收集者,https://game.gtimg.cn/images/lol/act/img/item/6676.png
守护天使,https://game.gtimg.cn/images/lol/act/img/item/3026.png
守护者法球,https://game.gtimg.cn/images/lol/act/img/item/3112.png
守护者号角,https://game.gtimg.cn/images/lol/act/img/item/2051.png
守护者战锤,https://game.gtimg.cn/images/lol/act/img/item/3184.png
守护者之刃,https://game.gtimg.cn/images/lol/act/img/item/3177.png
守望者铠甲,https://game.gtimg.cn/images/lol/act/img/item/3082.png
舒瑞娅的战歌,https://game.gtimg.cn/images/lol/act/img/item/2065.png
水银饰带,https://game.gtimg.cn/images/lol/act/img/item/3140.png
水银弯刀,https://game.gtimg.cn/images/lol/act/img/item/3139.png
水银之靴,https://game.gtimg.cn/images/lol/act/img/item/3111.png
朔极之矛,https://game.gtimg.cn/images/lol/act/img/item/3161.png
斯塔缇克电刃,https://game.gtimg.cn/images/lol/act/img/item/3087.png
斯特拉克的挑战护手,https://game.gtimg.cn/images/lol/act/img/item/3053.png
死亡之舞,https://game.gtimg.cn/images/lol/act/img/item/6333.png
死刑宣告,https://game.gtimg.cn/images/lol/act/img/item/3123.png
锁子甲,https://game.gtimg.cn/images/lol/act/img/item/1031.png
踏苔蜥幼苗,https://game.gtimg.cn/images/lol/act/img/item/1103.png
贪欲九头蛇,https://game.gtimg.cn/images/lol/act/img/item/3074.png
探索者的护臂,https://game.gtimg.cn/images/lol/act/img/item/2420.png
提亚马特,https://game.gtimg.cn/images/lol/act/img/item/3077.png
铁板靴,https://game.gtimg.cn/images/lol/act/img/item/3047.png
挺进破坏者,https://game.gtimg.cn/images/lol/act/img/item/6631.png
蜕生,https://game.gtimg.cn/images/lol/act/img/item/3137.png
万世催化石,https://game.gtimg.cn/images/lol/act/img/item/3803.png
亡者的板甲,https://game.gtimg.cn/images/lol/act/img/item/3742.png
巫术合剂,https://game.gtimg.cn/images/lol/act/img/item/2139.png
巫妖之祸,https://game.gtimg.cn/images/lol/act/img/item/3100.png
无尽之刃,https://game.gtimg.cn/images/lol/act/img/item/3031.png
无穷饥渴,https://game.gtimg.cn/images/lol/act/img/item/2517.png
无用大棒,https://game.gtimg.cn/images/lol/act/img/item/1058.png
无终恨意,https://game.gtimg.cn/images/lol/act/img/item/2502.png
吸血鬼节杖,https://game.gtimg.cn/images/lol/act/img/item/1053.png
仙女护符,https://game.gtimg.cn/images/lol/act/img/item/1004.png
鞋子,https://game.gtimg.cn/images/lol/act/img/item/1001.png
亵渎九头蛇,https://game.gtimg.cn/images/lol/act/img/item/6698.png
心之钢,https://game.gtimg.cn/images/lol/act/img/item/3084.png
星界据守,https://game.gtimg.cn/images/lol/act/img/item/3869.png
星界驱驰,https://game.gtimg.cn/images/lol/act/img/item/4629.png
星蚀,https://game.gtimg.cn/images/lol/act/img/item/6692.png
猩红明朗,https://game.gtimg.cn/images/lol/act/img/item/3171.png
虚空之杖,https://game.gtimg.cn/images/lol/act/img/item/3135.png
血鸣,https://game.gtimg.cn/images/lol/act/img/item/3877.png
迅速进军,https://game.gtimg.cn/images/lol/act/img/item/3170.png
湮灭宝珠,https://game.gtimg.cn/images/lol/act/img/item/3916.png
焰爪猫幼崽,https://game.gtimg.cn/images/lol/act/img/item/1101.png
耀光,https://game.gtimg.cn/images/lol/act/img/item/3057.png
夜之锋刃,https://game.gtimg.cn/images/lol/act/img/item/3814.png
遗失的章节,https://game.gtimg.cn/images/lol/act/img/item/3802.png
已弃用的装备,https://game.gtimg.cn/images/lol/act/img/item/3095.png
以太精魂,https://game.gtimg.cn/images/lol/act/img/item/3113.png
饮血剑,https://game.gtimg.cn/images/lol/act/img/item/3072.png
荧尘,https://game.gtimg.cn/images/lol/act/img/item/2022.png
影焰,https://game.gtimg.cn/images/lol/act/img/item/4645.png
幽魂斗篷,https://game.gtimg.cn/images/lol/act/img/item/3211.png
幽魂面具,https://game.gtimg.cn/images/lol/act/img/item/3147.png
幽梦之灵,https://game.gtimg.cn/images/lol/act/img/item/3142.png
育恩塔尔荒野箭,https://game.gtimg.cn/images/lol/act/img/item/3032.png
原生质护带,https://game.gtimg.cn/images/lol/act/img/item/2525.png
圆梦使者,https://game.gtimg.cn/images/lol/act/img/item/3870.png
远见改造,https://game.gtimg.cn/images/lol/act/img/item/3363.png
月石再生器,https://game.gtimg.cn/images/lol/act/img/item/6617.png
云游图鉴,https://game.gtimg.cn/images/lol/act/img/item/3865.png
增幅典籍,https://game.gtimg.cn/images/lol/act/img/item/1052.png
扎兹沙克的溃口,https://game.gtimg.cn/images/lol/act/img/item/3871.png
长剑,https://game.gtimg.cn/images/lol/act/img/item/1036.png
侦察守卫,https://game.gtimg.cn/images/lol/act/img/item/3340.png
振奋盔甲,https://game.gtimg.cn/images/lol/act/img/item/3065.png
正午箭袋,https://game.gtimg.cn/images/lol/act/img/item/6670.png
治疗宝珠,https://game.gtimg.cn/images/lol/act/img/item/1006.png
智慧末刃,https://game.gtimg.cn/images/lol/act/img/item/3091.png
中娅沙漏,https://game.gtimg.cn/images/lol/act/img/item/3157.png
装甲战靴,https://game.gtimg.cn/images/lol/act/img/item/3174.png
自然之力,https://game.gtimg.cn/images/lol/act/img/item/4401.png
最后的轻语,https://game.gtimg.cn/images/lol/act/img/item/3035.png
