# ChooseHextech 套路数据（社区用户套路 data/userjson + 每英雄 1 条常规兜底）
# 生成：collect/scripts/userjson-merge.mts，2026-08-15
# 格式：英雄  套路名  海克斯推荐  装备推荐  对局技巧  作者  适用版本
英雄	套路名	海克斯推荐	装备推荐	对局技巧	作者	适用版本
斯莫德	物理半肉暴击流	暴击飞弹、珠光护手、双生火焰、更万用的瞄准镜、升级：无尽之刃、老练狙神、巨人杀手、由暴生急	长剑、复用型药水、耀光、夺萃之镰、暴食胫甲、黑色切割者、饮血剑、不朽盾弓	黑色切割者由Q连发快速叠破甲，Q、W交替打出多段伤害。；不朽盾弓触发时别慌，饮血剑吸血反打，残局靠Q斩杀收尾。；半肉能抗，E贴近后Q接普攻循环，团战别独自切入。	社区采集	26.16
凯尔	法术半肉攻速特效流	更万用的瞄准镜、神射法师、术士果汁盒、灵巧、虚幻武器、双刀流、物法皆修、最万用的瞄准镜	短剑、狂战士胫甲、纳什之牙、黄昏与黎明、虚空之杖、界弓、中娅沙漏、女妖面纱	半肉出装能站桩，被动叠满转远程平A，别贪近身。；女妖面纱挡关键控制，团战前先叠攻速层，开团后贴边输出。；大招留给被集火队友，配合W加速救人撤退。	社区采集	26.16
阿萝拉	法术流	虚幻武器、术士果汁盒、尤里卡、牙仙子、超凡邪恶、巫师式思考、纯粹主义者 - 术师、无限循环往复	复用型药水、遗失的章节、卢登的回声、法师之靴、风暴狂涌、女妖面纱、星界驱驰、虚空之杖	Q两段来回命中挂灵界印记，接普攻触发额外伤害，别只丢一段。；W灵界穿梭可躲指向技，被切时开W进入灵界拉开，再反手E。；风暴狂涌配合大招爆发，团战先R封走位，再Q、E集火目标。	社区采集	26.16
永恩	暴击流	秘术冲拳、升级：无尽之刃、渴血、罪恶快感、牙仙子、大力、最终形态、魔法转物理	短剑、狂战士胫甲、破败王者之刃、不朽盾弓、兰顿之兆、水银弯刀、振奋盔甲、千变者贾修	Q叠满第三段再突进击飞，别空丢，击飞后接W、E打出爆发。；E灵躯分形用来消耗，进场打一套就按E返回本体，别恋战。；拿到升级：无尽之刃时暴击更痛，大招控住关键输出后优先集火。	社区采集	26.16
崔丝塔娜	暴击攻速流	暴击飞弹、升级：无尽之刃、双发快射、双刀流、连拨击锤、灵魂虹吸、暴击律动、更万用的瞄准镜	复用型药水、缚炉之斧、海妖杀手、狂战士胫甲、纳沃利烁刃、玛莫提乌斯之噬、不朽盾弓、智慧末刃	海妖杀手第三下普攻增伤，先挂E再开Q连射，打出爆发。；W进场收割前确保能击杀刷新W，别跳进人群送死。；R超口径炮击退突进敌人，留作保命，别当伤害技能乱用。	社区采集	26.16
烬	穿甲流	升级：无尽之刃、暴击飞弹、巨人杀手、更万用的瞄准镜、灵魂虹吸、升级：收集者、连拨击锤、暴击律动	鞋子、锯齿短匕、狂妄、轻灵之靴、公理圆弧、炼金朋克链锯剑、亵渎九头蛇、夜之锋刃	公理圆弧杀人减大招CD，多参与击杀让R更快转好。；亵渎九头蛇范围伤害，普攻命中多人时接技能收割。；穿甲流爆发高但脆，站位靠后，用W和R远程输出。	社区采集	26.16
易	暴击攻速流	秘术冲拳、罪恶快感、全凭身法、升级：无尽之刃、大力、渴血、升级：收集者、急速之追求	鞋子、生命药水、锯齿短匕、收集者、狂战士胫甲、破败王者之刃、水银弯刀、海克斯注力刚壁	开E后持续平A打出真伤，普攻减Q冷却，循环输出。；Q留着躲集火，敌方交控后再进场，别被先手秒。；击杀刷新Q和E，收割时从残血开始，逐个击破。	社区采集	26.16
阿利斯塔	坦克流	坦克引擎、钢化你心、飞身踢、星界躯体、重量级打击手、歌利亚巨人、吞噬灵魂、升级：献祭	巨人腰带、女神之泪、心之钢、水银之靴、凛冬之临、兰顿之兆、自然之力、冰霜之心	W头槌接Q大地粉碎是连招，W撞人瞬间按Q击飞，开团必用。；R坚定意志解控并减伤，被集火或被控时开R硬顶。；心之钢靠普攻叠层，贴脸后用E叠晕再普攻触发。	社区采集	26.16
玛尔扎哈	法术流	炼狱导管、术士果汁盒、魔法飞弹、冰寒、超凡邪恶、尤里卡、无限循环往复、巫师式思考	复用型药水、遗失的章节、黯炎火炬、法师之靴、兰德里的折磨、虚空之杖、中娅沙漏、灭世者的死亡之帽	E恶性感染挂小兵或残血，击杀后自动传播，团战先给前排挂E。；R虚空之握压制关键目标，开大前先丢W虚空虫群增伤。；Q虚空呼唤沉默打断技能，留着打断敌方关键大招。	社区采集	26.16
赵信	半肉双修流	坦克引擎、升级：耀光、钢化你心、渴血、秘术冲拳、重量级打击手、星界躯体、物法皆修	十字镐、短剑、斯塔缇克电刃、水银之靴、黄昏与黎明、千变者贾修、破败王者之刃、灭世者的死亡之帽	先靠斯塔缇克电刃弹跳清兵攒经济，同时压低敌方后排血线再E进场。；破败王者之刃普攻打当前生命，E贴脸接Q三连，靠物法皆修的双加成打爆发。；灭世者的死亡之帽拉高E与大招的法术加成，残局R收割更痛。	社区采集	26.16
慎	半肉坦克流	坦克引擎、重量级打击手、歌利亚巨人、钢化你心、星界躯体、艾卡西亚的陷落、高压锅、泰坦的坚决	巨人腰带、红水晶、巨型九头蛇、水银之靴、黄昏与黎明、玛莫提乌斯之噬、破舰者、死亡之舞	巨型九头蛇让普攻范围溅射，Q回拉后接三下强化普攻快速清兵。；E嘲讽接Q强化普攻，巨型九头蛇溅射命中多人，配合死亡之舞回血站场。；分带靠破舰者对塔伤害和W挡普攻，吸引抓单再R支援队友。	社区采集	26.16
辛德拉	法术流	尤里卡、术士果汁盒、超凡邪恶、魔法飞弹、牙仙子、大法师、巫师式思考、升级：中娅	复用型药水、遗失的章节、卢登的回声、法师之靴、影焰、女妖面纱、中娅沙漏、虚空之杖	Q放球后用E推出去晕人，等敌人被队友逼到球线时出手命中率更高。；R前先在地上留三四个球，暗黑法球越多R伤害越高，优先丢给脆皮。；拿到升级：中娅后，被集火时原地金身保命，等队友补伤害再接W拉扯。	社区采集	26.16
艾克	法术半肉攻速特效流	虚幻武器、暗影疾奔、术士果汁盒、尤里卡、牙仙子、全凭身法、超凡邪恶、渴血	鞋子、海克斯科技发电机、黄昏与黎明、法师之靴、影焰、虚空之杖、裂隙制造者、女妖面纱	裂隙制造者叠满后普攻和技能都吸血，靠E二段贴身持续输出。；Q两段命中叠被动三环，触发后移速提升，配合全凭身法拉扯风筝。；影焰对低血敌人伤害更高，残局E突进接Q二段点死脆皮。	社区采集	26.16
彗	法术流	魔法飞弹、炼狱导管、术士果汁盒、超凡邪恶、老练狙神、尤里卡、冰寒、狙神飞星	复用型药水、遗失的章节、黯炎火炬、法师之靴、兰德里的折磨、中娅沙漏、虚空之杖、女妖面纱	用QE火焰波清线压制，黯炎火炬和兰德里的折磨双重灼烧持续掉血。；EQ恐惧打断突进，敌方战士跳脸先EQ拉开，再WW给自己套护盾。；R大范围施放前用EW把敌人定在中心，配合狙神飞星打满伤害。	社区采集	26.16
赫卡里姆	战士半肉流	旋转至胜、秘术冲拳、罪恶快感、无尽大杀四方、渴血、穿针引线、大力、终极唤醒	鞋子、长剑、女神之泪、焚天、水银之靴、魔宗、兰顿之兆、千变者贾修	Q转圈叠层伤害更高，打架前先Q小兵叠满再E进场撞人。；E蓄满移速撞人，配合焚天第一击回血，撞进人堆后开W回血。；R恐惧直线上敌人，从侧面切入放大招，绕开前排直接踩后排。	社区采集	26.16
茂凯	坦克流	坦克引擎、飞身踢、钢化你心、重量级打击手、星界躯体、歌利亚巨人、升级：献祭、吞噬灵魂	巨人腰带、女神之泪、心之钢、水银之靴、凛冬之临、千变者贾修、兰顿之兆、骑士之誓	W缠绕定人后贴脸叠心之钢，凛冬之临触发护盾持续站场。；E树苗提前丢进草丛和路口控视野，踩到减速给队友创造追击机会。；R根系缓慢推进，开团正面放出逼走位，再W绕后缠绕脆皮。	社区采集	26.16
诺提勒斯	坦克流	坦克引擎、钢化你心、飞身踢、重量级打击手、星界躯体、歌利亚巨人、吞噬灵魂、升级：献祭	巨人腰带、女神之泪、心之钢、水银之靴、凛冬之临、兰顿之兆、冰霜之心、千变者贾修	Q钩中接被动定身，贴脸普攻叠心之钢，凛冬之临触发护盾抗集火。；E踩地范围减速，开团钩进人堆立刻E，冰霜之心减攻速废掉对面ADC。；R锁定敌方后排必中，等敌人交位移再放，队友跟上补伤害。	社区采集	26.16
韦鲁斯	攻速特效流	暴击飞弹、双发快射、双刀流、虚幻武器、狂热者、双生火焰、升级：无尽之刃、灵巧	短剑、狂战士胫甲、破败王者之刃、鬼索的狂暴之刃、兰顿之兆、水银弯刀、千变者贾修、败魔	先普攻叠W枯萎最多三层，再用E或Q引爆打出百分比伤害。；鬼索的狂暴之刃叠满后加攻速双穿，配合破败王者之刃持续点前排。；R控住突进，W点满后E引爆，站桩输出时别贪Q。	社区采集	26.16
卡莎	攻速特效流	虚幻武器、狂热者、暴击飞弹、双生火焰、神射法师、双发快射、双刀流、尤里卡	复用型药水、缚炉之斧、海妖杀手、狂战士胫甲、破败王者之刃、水银弯刀、中娅沙漏、不朽盾弓	普攻叠电浆，海妖杀手第三下与被动爆发同时打出。；破败王者之刃点坦克，W挂电浆后R飞进团战边缘收割。；不朽盾弓低血触发护盾保命，配合E加速拉扯别无脑贴脸。	社区采集	26.16
菲兹	坦克流	全凭身法、暗影疾奔、神射法师、术士果汁盒、虚幻武器、尤里卡、牙仙子、炽燃利息	巨人腰带、红水晶、心之钢、水银之靴、无终恨意、灭世者的死亡之帽、原生质护带、影焰	用E躲控后贴住脆皮，靠心之钢叠生命值，让无终恨意的回复更持久。；团战先R命中后排再开E进场，靠装备坦度站桩换血，别先交W。	社区采集	26.16
俄洛伊	战士半肉流	坦克引擎、钢化你心、飞身踢、重量级打击手、歌利亚巨人、星界躯体、渴血、升级：献祭	掘道钻头、荧尘、焚天、水银之靴、振奋盔甲、兰顿之兆、荆棘之甲、自然之力	用E拉出灵魂后立刻集火灵魂，触手会持续拍打本体，压对面血线。；R在多名敌人靠近时释放，命中越多召唤触手越多，打满范围伤害。；开团先W跳劈近处目标，再接Q扫灵魂，别让对面跑出触手区。	社区采集	26.16
阿狸	法术流	术士果汁盒、尤里卡、魔法飞弹、超凡邪恶、巫师式思考、大法师、升级：中娅、无限循环往复	复用型药水、遗失的章节、卢登的回声、法师之靴、风暴狂涌、女妖面纱、虚空之杖、蜕生	E魅惑命中后立刻接QW，把卢登回声和风暴狂涌的爆发打在关键目标上。；用R三段位移进场收割残血，来回拉扯别恋战，等技能转好再回头。；E魅惑捏着等突进先手，命中后立刻集火，别急着交位移保命。	社区采集	26.16
维迦	坦克流	尤里卡、术士果汁盒、超凡邪恶、超强大脑、巫师式思考、由心及物、纯粹主义者 - 术师、无限循环往复	万世催化石、时光之杖、明朗之靴、狂徒铠甲、女妖面纱、影焰、中娅沙漏、风暴狂涌	堆血量后靠E控场，狂徒铠甲脱战回血，团战里反复进出拉扯。；E困住后接WQ，用风暴狂涌和影焰的爆发打低血目标。；中娅沙漏留着规避集火，E冷却好了再进场开团。	社区采集	26.16
库奇	战士半肉流	暴击飞弹、珠光护手、亮出你的剑、双生火焰、升级：无尽之刃、升级：收集者、更万用的瞄准镜、巨人杀手	耀光、女神之泪、三相之力、水银之靴、魔宗、败魔、水银弯刀、赛瑞尔达的怨恨	半肉出装别太怂，W进场打一套再撤，用赛瑞尔达的怨恨减速黏人。；E扫射削甲后接三相普攻，魔宗满层后导弹消耗更疼。	社区采集	26.16
维克托	半肉法坦流	术士果汁盒、尤里卡、魔法飞弹、超凡邪恶、炼狱导管、巫师式思考、老练狙神、升级：中娅	万世催化石、时光之杖、法师之靴、兰德里的折磨、自然之力、振奋盔甲、莫雷洛秘典、裂隙制造者	靠时光之杖和裂隙制造者撑持续作战，R挂上后站桩烫人。；W重力场放在自己脚下防突进，配合兰德里的折磨持续灼烧。；莫雷洛秘典克制对面治疗，R覆盖人群时减治疗收益最大。	社区采集	26.16
厄斐琉斯	暴击攻速流	暴击飞弹、升级：无尽之刃、灵魂虹吸、双刀流、双发快射、连拨击锤、灵巧、更万用的瞄准镜	鞋子、生命药水、锯齿短匕、收集者、狂战士胫甲、卢安娜的飓风、水银弯刀、智慧末刃	白刀配合卢安娜的飓风能溅射多名敌人，团战站位靠后持续输出。；红刀吸血站桩，绿刀远程消耗，跟着武器顺序切换打。；打团前留好蓝白或红白武器组合，别把爆发浪费在清线上。	社区采集	26.16
基兰	法术流	大法师、尤里卡、纯粹主义者 - 术师、老练狙神、魔法飞弹、急急小子、无限循环往复、超凡邪恶	复用型药水、遗失的章节、卢登的回声、法师之靴、风暴狂涌、虚空之杖、救赎、女妖面纱	双Q靠W刷新，第一颗炸弹粘上后立刻W再Q，晕住脆皮打爆发。；R留给被集火的队友保关键输出，别随便乱交，团战决定胜负。；E给突进减速、给队友加速，用加速帮己方调整站位和追击。	社区采集	26.16
伊泽瑞尔	物理流	珠光护手、暴击飞弹、双生火焰、亮出你的剑、魔法飞弹、升级：耀光、巨人杀手、超凡邪恶	耀光、女神之泪、三相之力、明朗之靴、魔宗、中娅沙漏、水银弯刀、炼金朋克链锯剑	W标记敌人后接Q或普攻引爆，先W后Q是主要输出循环。；中娅沙漏保命，被突脸时E拉开再开金身，等队友接应。	社区采集	26.16
维克兹	法术流	魔法飞弹、老练狙神、尤里卡、超凡邪恶、术士果汁盒、炼狱导管、巫师式思考、狙神飞星	复用型药水、遗失的章节、卢登的回声、法师之靴、影焰、虚空之杖、中娅沙漏、女妖面纱	技能命中叠被动触发真实伤害，连招QEW再接R，一套尽量打满。；E击飞留人，命中后立刻WQR，把大招扫在被击飞的目标上。；站位靠后，大招扫射时用中娅保命，别站进团战中心。	社区采集	26.16
加里奥	坦克流	坦克引擎、飞身踢、钢化你心、重量级打击手、星界躯体、歌利亚巨人、升级：献祭、吞噬灵魂	巨人腰带、女神之泪、心之钢、水银之靴、璀璨回响、中娅沙漏、千变者贾修、兰顿之兆	W蓄满嘲讽多人，靠心之钢叠血，站桩顶前排吃第一波伤害。；E突进击飞先手开团，再W嘲讽，把对面关键输出拉进己方火力。；中娅沙漏配合W开团，进场嘲讽后按金身规避集火。	社区采集	26.16
特朗德尔	战士半肉流	地形专家、秘术冲拳、重量级打击手、渴血、质变：棱彩阶、升级：耀光、黎明使者的坚决、高压锅	掘道钻头、荧尘、焚天、水银之靴、三相之力、无终恨意、兰顿之兆、炼金朋克链锯剑	Q撕咬命中后立刻接平A触发三相之力的咒刃，再开W加速追击残血。；团战先手R强权至上偷敌方前排抗性，配合焚天回血贴脸持续输出。；用E冰柱把脆皮顶到墙边卡位，接Q减速留人后集火。	社区采集	26.16
卡尔萨斯	法术流	尤里卡、纯粹主义者 - 术师、超凡邪恶、魔法飞弹、无限循环往复、杀戮时间到了、巫师式思考、终极刷新	复用型药水、遗失的章节、残疫、法师之靴、兰德里的折磨、虚空之杖、女妖面纱、莫雷洛秘典	死亡后被动期间贴脸敌方人群开E亵渎持续烫伤，Q荒芜点单体补刀。；拿到终极刷新时，先手放R安魂曲压血线，刷新后再补一发收割残血。；W痛苦之墙先减对方魔抗，再接Q和R，配合兰德里的折磨灼烧残血。	社区采集	26.16
图奇	暴击攻速流	升级：无尽之刃、双刀流、暴击律动、更万用的瞄准镜、灵巧、连拨击锤、巨人杀手、升级：收集者	短剑、狂战士胫甲、破败王者之刃、卢安娜的飓风、饮血剑、智慧末刃、幻影之舞、纳什之牙	卢安娜的飓风能把毒液溅射到多个目标，开R后平A叠满被动再引爆E。；Q隐身出草先手W减速，普攻叠毒期间靠饮血剑吸血维持状态。；破败王者之刃的被动减速配合W，让目标难以脱离你的射程。	社区采集	26.16
莎弥拉	暴击流	升级：无尽之刃、灵魂虹吸、亮出你的剑、暴击飞弹、升级：收集者、最终形态、渴血、大力	鞋子、锯齿短匕、收集者、水银之靴、不朽盾弓、败魔、振奋盔甲、死亡之舞	先用Q和平A把风格评级刷到S，再开R炼狱扳机进场收割。；W锋旋挡掉关键弹道或控制，E狂飙进场接平A快速刷评级。；开R期间靠不朽盾弓和死亡之舞吸血免伤，贴着人群转满全场。	社区采集	26.16
格温	法术攻速特效流	术士果汁盒、神射法师、虚幻武器、渴血、秘术冲拳、最终形态、超凡邪恶、不祥契约	爆裂魔杖、红水晶、复用型药水、黄昏与黎明、水银之靴、纳什之牙、女妖面纱、虚空之杖	纳什之牙加攻速帮助快速叠Q层数，中心剪命中打出真伤。；W圣霭圈边拉扯输出，圈外敌人打不到你，E随时调整站位。；R引针簇射先手减速，接E贴脸叠Q，虚空之杖穿透魔抗打前排。	社区采集	26.16
嘉文四世	战士半肉流	坦克引擎、飞身踢、钢化你心、重量级打击手、大力、歌利亚巨人、星界躯体、牙仙子	掘道钻头、荧尘、焚天、水银之靴、星蚀、自然之力、狂徒铠甲、千变者贾修	E军旗插出后Q巨龙撞击接旗，击飞关键C位再R天崩地裂框住集火。；焚天和星蚀提供回复护盾，EQ进场后开W黄金圣盾抗伤害。；R框住后排后先平A触发焚天回血，再等队友补输出。	社区采集	26.16
墨菲特	坦克流	坦克引擎、飞身踢、钢化你心、重量级打击手、星界躯体、歌利亚巨人、尤里卡、升级：献祭	巨人腰带、红水晶、心之钢、水银之靴、荆棘之甲、风暴狂涌、影焰、灭世者的死亡之帽	R开团撞起多人后开W大地震撼，E减速敌方攻速，心之钢贴脸叠层。；荆棘之甲反伤并挂重伤，克制对方AD持续输出。；风暴狂涌和影焰补法强，让R的爆发也能威胁脆皮。	社区采集	26.16
赛娜	物理流	暴击飞弹、双发快射、更万用的瞄准镜、最万用的瞄准镜、升级：无尽之刃、灵巧、巨人杀手、仁慈打击	十字镐、短剑、斯塔缇克电刃、轻灵之靴、黑色切割者、水银弯刀、炼金朋克链锯剑、饮血剑	斯塔缇克电刃帮助清线和叠魂，Q同时奶队友打输出。；黑色切割者平A削甲，炼金朋克链锯剑挂重伤压制回血。；E黑雾集体隐身调整站位，再找角度A出关键减速。	社区采集	26.16
辛吉德	法术流	炼狱导管、冰寒、坦克引擎、术士果汁盒、超凡邪恶、扇巴掌、不祥契约、由心及物	万世催化石、时光之杖、轻灵之靴、瑞莱的冰晶节杖、灭世者的死亡之帽、虚空之杖、兰顿之兆、千变者贾修	开Q剧毒踪迹绕到后排，冰杖减速黏住，E过肩摔把脆皮甩进人群。；W强力黏胶禁位移封走位，再E把目标摔回毒雾区持续中毒。；大招疯狂药剂加属性时冲进人群开毒，配合灭世帽放大伤害。	社区采集	26.16
